Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,HSWV,GSWV,Ярлык
269,поста,члена,пост,член,Ncmsgn,Ncmsgy,ATR,,,учреждение_S,учреждение_S,
270,члена,совета,член,совет,Ncmsgy,Ncmsgn,MB,,,учреждение_S,организация_S,
271,партии,зюганова,партия,зюганов,Ncfsln,Npmsgy,MB,,,группа_S,родственник_S,
272,список,кпрф,список,кпрф,Ncmsan,Ncfsgn,ATR,,,группа_S,группа_S,
273,пол,ребенка,половина,ребенок,Ncmsan,Ncmsgy,PAR,,,группа_S,родственник_S,
274,возрастом,женщины,возраст,женщина,Ncmsin,Ncfsgy,PAR,,,человек_S,человек_S,
275,место,происшествия,место,происшествие,Ncnsan,Ncnsgn,ATR,,,предмет_S,предмет_S,
276,заместитель,прокурора,заместитель,прокурор,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
277,прокурора,рф,прокурор,рф,Ncmsgy,Ncfsgn,MB,,,агент_S,агент_S,
278,зависимость,художника,зависимость,художник,Ncfsnn,Ncmsgy,ATR,,,свойство_S,деятель_S,
279,развития,капитализма,развитие,капитализм,Ncnsgn,Ncmsgn,SPA,,,организация_S,деятель_S,
280,роста,класса,рост,класс,Ncmsgn,Ncmsgn,SPA,,,группа_S,группа_S,
281,класса,буржуазии,класс,буржуазия,Ncmsgn,Ncfsgn,ATR,,,группа_S,организация_S,
282,глава,государства,глава,государство,Ncmsny,Ncnsgn,MB,,,агент_S,организация_S,
283,уровень,конкуренции,уровень,конкуренция,Ncmsan,Ncfsgn,PAR,,,учреждение_S,человек_S,
284,роль,наблюдателя,роль,наблюдатель,Ncfsnn,Ncmsgy,ATR,,,деятель_S,агент_S,
285,совершенствование,эффективности,совершенствование,эффективность,Ncnsan,Ncfsgn,OB,,,организация_S,организация_S,
286,эффективности,работы,эффективность,работа,Ncfsgn,Ncfsgn,PAR,,,организация_S,организация_S,
287,работы,гэс,работа,гэс,Ncfsgn,Ncfsgn,SAG,,,организация_S,организация_S,
288,отдела,развития,отдел,развитие,Ncmsgn,Ncnsgn,ATR,,,учреждение_S,организация_S,
289,специалист,отдела,специалист,отдел,Ncmsny,Ncmsgn,MB,,,человек_S,учреждение_S,
290,обладатель,кубка,обладатель,кубок,Ncmsny,Ncmsgn,POS,,,предмет_S,деятель_S,
291,выборе,эмитента,выбор,эмитент,Ncmsln,Ncmsgy,OB,,,действие_S,агент_S,
292,продолжительность,периода,продолжительность,период,Ncfsan,Ncmsgn,PAR,,,группа_S,группа_S,
293,чувство,неловкости,чувство,неловкость,Ncnsnn,Ncfsgn,ATR,,,свойство_S,предмет_S,
294,достижение,короля,достижение,король,Ncnsnn,Ncmsgy,SAG,,,деятель_S,агент_S,
295,джип,маршала,джип,маршал,Ncmsnn,Ncmsgy,POS,,,агент_S,агент_S,
296,удаления,полузащитника,удаление,полузащитник,Ncnsgn,Ncmsgn,OB,,,действие_S,группа_S,
297,правоту,решения,правота,решение,Ncfsan,Ncnsgn,PAR,,,свойство_S,действие_S,
298,тренер,фк,тренер,фк,Ncmsny,Ncfsnn,OB',,,деятель_S,родственник_S,
299,регулирование,тарифов,регулирование,тариф,Ncnsnn,Ncmpgn,OB,,,организация_S,учреждение_S,
300,компетенции,властей,компетенция,власть,Ncfsdn,Ncfpgn,PAR,,,учреждение_S,учреждение_S,
301,моделирование,ситуации,моделирование,ситуация,Ncnsnn,Ncfsgn,OB,,,свойство_S,действие_S,
302,ситуации,перехода,ситуация,переход,Ncfsgn,Ncmsgn,ATR,,,действие_S,действие_S,
303,методом,гипокинезии,метод,гипокинезия,Ncmsin,Ncfsgn,ATR,,,свойство_S,действие_S,
304,программе,исследований,программа,исследование,Ncfsdn,Ncnpgn,ATR,,,организация_S,свойство_S,
305,реализации,устройств,реализация,устройство,Ncfsln,Ncnpgn,OB,,,действие_S,организация_S,
306,целью,использования,цель,использование,Ncfsin,Ncnsgn,ATR,,,предмет_S,действие_S,
307,мать,ученого,мать,ученый,Ncfsny,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
308,нужды,человека,нужда,человек,Ncfpnn,Ncmsgy,SPA,,,учреждение_S,человек_S,
309,удовлетворения,потребности,удовлетворение,потребность,Ncnsgn,Ncfsgn,OB,,,предмет_S,свойство_S,
310,проводник,помощи,проводник,помощь,Ncmsny,Ncfsgn,OB',,,агент_S,действие_S,
311,измены,мужа,измена,муж,Ncfsgn,Ncmsgy,SAG,,,родственник_S,родственник_S,
312,почве,измены,почва,измена,Ncfsln,Ncfsgn,ATR,,,предмет_S,родственник_S,
313,использование,материалов,использование,материал,Ncnsan,Ncmpgn,OB,,,действие_S,предмет_S,
314,нарушение,процедуры,нарушение,процедура,Ncnsnn,Ncfsgn,OB,,,действие_S,учреждение_S,
315,процедуры,проведения,процедура,проведение,Ncfsgn,Ncnsgn,ATR,,,учреждение_S,организация_S,
316,проведения,егэ,проведение,егэ,Ncnsgn,Ncmsgn,OB,,,организация_S,предмет_S,
317,способностях,психолога,способность,психолог,Ncfpln,Ncmsgy,ATR,,,свойство_S,деятель_S,
318,остатки,мира,остаток,мир,Ncmpan,Ncmsgn,WH,,,свойство_S,предмет_S,
319,духе,оперы,дух,опера,Ncmsln,Ncfsgn,ATR,,,свойство_S,деятель_S,
320,продвижение,продукта,продвижение,продукт,Ncnsan,Ncmsgn,OB,,,действие_S,предмет_S,
321,протекция,супруги,протекция,супруга,Ncfsnn,Ncfsgy,SAG,,,агент_S,родственник_S,
322,супруги,главы,супруга,глава,Ncfsnn,Ncmsgy,KIN-SOC,,,родственник_S,агент_S,
323,главы,государства,глава,государство,Ncmsgy,Ncnsgn,MB,,,агент_S,организация_S,
324,причиной,награждения,причина,награждение,Ncfsin,Ncnsgn,ATR,,,предмет_S,деятель_S,
325,награждения,михайлова,награждение,михайлов,Ncnsgn,Npmsgy,OB,,,деятель_S,родственник_S,
326,развития,образования,развитие,образование,Ncnsgn,Ncnsgn,SPA,,,организация_S,учреждение_S,
327,повышения,престижа,повышение,престиж,Ncnsgn,Ncmsgn,SPA,,,организация_S,организация_S,
328,престижа,профессии,престиж,профессия,Ncmsgn,Ncfsgn,PAR,,,организация_S,предмет_S,
329,изгнанию,дьявола,изгнание,дьявол,Ncnsdn,Ncmsgy,OB,,,деятель_S,агент_S,
330,вес,ведра,вес,ведро,Ncmsnn,Ncnsgn,PAR,,,свойство_S,человек_S,
331,сайте,бизнесмена,сайт,бизнесмен,Ncmsln,Ncmsgy,POS,,,агент_S,деятель_S,
332,манера,поведения,манер,поведение,Ncfsnn,Ncnsgn,ATR,,,агент_S,действие_S,
333,поведения,саркози,поведение,саркози,Ncnsgn,Npmsny,SAG,,,действие_S,родственник_S,
334,происхождением,главы,происхождение,глава,Ncnsin,Ncmsgy,SPA,,,свойство_S,агент_S,
335,главы,государства,глава,государство,Ncmsgy,Ncnsgn,MB,,,агент_S,организация_S,
336,типу,наблюдения,тип,наблюдение,Ncmsdn,Ncnsgn,PAR,,,свойство_S,предмет_S,
337,назначения,лечения,назначение,лечение,Ncnsgn,Ncnsgn,OB,,,учреждение_S,действие_S,
338,объема,информации,объем,информация,Ncmsgn,Ncfsgn,PAR,,,свойство_S,агент_S,
339,коллеги,вдовца,коллега,вдовец,Nccpny,Ncmsgy,KIN-SOC,,,родственник_S,родственник_S,
340,графики,ремонта,графика,ремонт,Ncmpan,Ncmsgn,ATR,,,предмет_S,учреждение_S,
341,ремонта,оборудования,ремонт,оборудование,Ncmsgn,Ncnsgn,OB,,,учреждение_S,организация_S,
342,перетоки,мощностей,переток,мощность,Ncfsgn,Ncfpgn,SPA,,,действие_S,свойство_S,
343,недостатке,мощности,недостаток,мощность,Ncmsln,Ncfsgn,SPA,,,свойство_S,свойство_S,
344,способ,наказания,способ,наказание,Ncmsan,Ncnsgn,ATR,,,предмет_S,действие_S,
345,наказания,человека,наказание,человек,Ncnsgn,Ncmsgy,OB,,,действие_S,человек_S,
346,постели,больного,постель,больной,Ncfsgn,Ncmsgy,POS,,,деятель_S,человек_S,
347,эксперта,центра,эксперт,центр,Ncmsgy,Ncmsgn,MB,,,агент_S,учреждение_S,
348,представитель,администрации,представитель,администрация,Ncmsnny,Ncfsgn,MB,,,деятель_S,учреждение_S,
349,администрации,президента,администрация,президент,Ncfsgn,Ncmsgy,MB,,,учреждение_S,деятель_S,
350,президента,рф,президент,рф,Ncmsgy,Npfsgn,MB,,,деятель_S,агент_S,
351,принятия,указа,принятие,указ,Ncfsgn,Ncmsgn,OB,,,действие_S,учреждение_S,
352,недостатки,оказания,недостаток,оказание,Ncmpnn,Ncmpnn,PAR,,,свойство_S,организация_S,
353,оказания,медпомощи,оказание,медпомощь,Ncnsgn,Ncfsgn,OB,,,организация_S,учреждение_S,
354,палату,терапии,палата,терапия,Ncfsan,Ncfsgn,ATR,,,учреждение_S,действие_S,
355,защиты,мозга,защита,мозг,Ncfsgn,Ncmsgn,OB,,,организация_S,свойство_S,
356,часть,вычета,часть,вычет,Ncfsan,Ncmsgn,WH,,,группа_S,агент_S,
357,долю,ребенка,доля,ребенок,Ncfsan,Ncmsgy,POS,,,группа_S,родственник_S,
358,выработку,кислоты,выработка,кислота,Ncfsan,Ncfsgn,OB,,,действие_S,свойство_S,
359,сферу,отношений,сфера,отношение,Ncfsan,Ncnpgn,ATR,,,организация_S,свойство_S,
360,репутацию,администратора,репутация,администратор,Ncfsan,Ncmsgy,ATR,,,организация_S,агент_S,
361,опыт,работы,опыт,работа,Ncmsan,Ncfsgn,ATR,,,свойство_S,организация_S,
362,собственников,компании,собственник,компания,Ncmpgy,Ncfsgn,POS,,,человек_S,группа_S,
363,представитель,президента,представитель,президент,Ncmsny,Ncmsgy,KIN-SOC,,,деятель_S,деятель_S,
364,рейтинг,медиаактивности,рейтинг,медиаактивность,Ncmsan,Ncfsgn,ATR,,,группа_S,родственник_S,
365,адвокат,летчика,адвокат,летчик,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
366,оглашения,приговора,оглашение,приговор,Ncnsgn,Ncmsgn,OB,,,действие_S,учреждение_S,
367,заседании,коллегии,заседание,коллегия,Ncnsln,Ncfsgn,SAG,,,учреждение_S,организация_S,
368,коллегии,рыболовства,коллегия,рыболовство,Ncfsgn,Ncnsgn,ATR,,,организация_S,предмет_S,
369,заместитель,председателя,заместитель,председатель,Ncmsny,Ncmsgn,KIN-SOC,,,агент_S,учреждение_S,
370,председателя,правительства,председатель,правительство,Ncmsgy,Ncnsgn,MB,,,учреждение_S,организация_S,
371,проблемам,рынка,проблема,рынок,Ncfpdn,Ncnsgn,ATR,,,предмет_S,агент_S,
372,рынка,продукции,рынок,продукция,Ncmsgn,Ncfsgn,ATR,,,агент_S,предмет_S,
373,грех,родителей,грех,родитель,Ncmsan,Ncmpgy,SAG,,,человек_S,родственник_S,
374,первенца,адама,первенец,адам,Ncmsgy,Npmsgy,KIN-SOC,,,родственник_S,человек_S,
375,вопросам,обеспечения,вопрос,обеспечение,Ncmpdn,Ncnsgn,ATR,,,предмет_S,организация_S,
376,обеспечения,безопасности,обеспечение,безопасность,Ncnsgn,Ncfsgn,OB,,,организация_S,организация_S,
377,возбудителя,колебаний,возбудитель,колебание,Ncmsgy,Ncnpgn,OB',,,свойство_S,действие_S,
378,воспитанник,тренера,воспитанник,тренер,Ncmsny,Ncmsgy,OB',,,учреждение_S,деятель_S,
379,арест,основателя,арест,основатель,Ncmsan,Ncmsgy,OB,,,родственник_S,деятель_S,
380,основателя,wikileaks,основатель,wikileaks,Ncmsgy,Npfsgn,OB',,,деятель_S,родственник_S,
381,изнасиловании,шведок,изнасилование,шведка,Ncnsln,Ncfpgy,OB,,,действие_S,человек_S,
382,коэффициент,конверсии,коэффициент,конверсия,Ncmsnn,Ncfsgn,PAR,,,свойство_S,действие_S,
383,цена,контакта,цена,контакт,Ncfsnn,Ncmsgn,PAR,,,предмет_S,группа_S,
384,стоимость,привлечения,стоимость,привлечение,Ncfsnn,Ncnsgn,PAR,,,предмет_S,организация_S,
385,совладелец,sms media,совладелец,sms media,Ncmsny,Npfsgn,POS,,,агент_S,родственник_S,
386,привлечения,клиента,привлечение,клиент,Ncfsgn,Ncmsgy,OB,,,организация_S,агент_S,
387,инициаторами,поправок,инициатор,поправка,Ncmpiy,Ncfpgn,OB',,,организация_S,действие_S,
388,участника,совета,участник,совет,Ncmsgy,Ncmsgn,MB,,,организация_S,организация_S,
389,профилактики,законодательства,профилактика,законодательство,Ncfsgn,Ncnsgn,OB,,,организация_S,организация_S,
390,категориям,граждан,категория,гражданин,Ncfpdn,Ncmpgy,PAR,,,группа_S,человек_S,
391,назначении,сенатора,назначение,сенатор,Ncnsgn,Ncmsgy,OB,,,учреждение_S,родственник_S,
392,рассмотрение,собрания,рассмотрение,собрание,Ncnsan,Ncnsgn,SAG,,,действие_S,организация_S,
393,проект,бюджета,проект,бюджет,Ncnsan,Ncmsgn,ATR,,,организация_S,учреждение_S,
394,ведущего,церемонии,ведущий,церемония,Ncmsan,Ncfsgn,OB',,,группа_S,учреждение_S,
395,церемонии,бракосочетания,церемония,бракосочетание,Ncfsgn,Ncnsgn,ATR,,,учреждение_S,деятель_S,
396,минуты,молчания,минута,молчание,Ncfsgn,Ncnsgn,ATR,,,человек_S,свойство_S,
397,брата,убийцы,брат,убийца,Ncmsgn,Nccsgy,KIN-SOC,,,родственник_S,агент_S,
398,количество,зрителей,количество,зритель,Ncnsnn,Ncmpgy,PAR,,,группа_S,человек_S,
399,друг,борца,друг,борец,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
400,центр,подготовки,центр,подготовка,Ncnsan,Ncfsgn,ATR,,,учреждение_S,организация_S,
401,дочери,секретаря,дочь,секретарь,Ncfsln,Ncmsgy,KIN-SOC,,,родственник_S,агент_S,
402,секретаря,цк,секретарить,цк,Ncmsgy,Ncmsgn,MB,,,родственник_S,организация_S,
403,типов,сделок,тип,сделка,Ncmpgn,Ncfpgn,PAR,,,свойство_S,действие_S,
404,истории,агента,история,агент,Ncfsgn,Ncmsgy,ATR,,,деятель_S,агент_S,
405,типе,учителя,тип,учитель,Ncmsgn,Ncmsgy,PAR,,,свойство_S,родственник_S,
406,основатель,гимназии,основатель,гимназия,Ncmsny,Ncfsgn,OB',,,деятель_S,учреждение_S,
407,страхование,имущества,страхование,имущество,Ncnsan,Ncnsnn,OB,,,учреждение_S,учреждение_S,
408,заместитель,гендиректора,заместитель,гендиректор,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,организация_S,
409,помощник,прокурора,помощник,прокурор,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
410,методе,мошенничества,метод,мошенничество,Ncmsgn,Ncnsgn,ATR,,,свойство_S,действие_S,
411,оказании,услуг,оказание,услуга,Ncnsnn,Ncfpgn,OB,,,организация_S,учреждение_S,
412,перепродаже,лекарств,перепродажа,лекарство,Ncfsgn,Ncnpgn,OB,,,агент_S,предмет_S,
413,прорыве,блокады,прорыв,блокада,Ncmsln,Ncfsgn,OB,,,действие_S,агент_S,
414,блокады,ленинграда,блокада,ленинград,Ncfsgn,Npmsgn,OB,,,агент_S,родственник_S,
415,введении,ответственности,введение,ответственность,Ncnsln,Ncfsgn,OB,,,действие_S,действие_S,
416,перестройки,игры,перестройка,игра,Ncfsgn,Ncfsgn,OB,,,действие_S,действие_S,
417,органам,власти,орган,власть,Ncmpdn,Ncgsgn,WH,,,учреждение_S,учреждение_S,
418,момент,введения,момент,введение,Ncmsan,Ncnsgn,ATR,,,предмет_S,действие_S,
419,введения,системы,введение,система,Ncnsgn,Ncfsgn,OB,,,действие_S,учреждение_S,
420,системы,оплаты,система,оплата,Ncfsgn,Ncfsgn,ATR,,,учреждение_S,организация_S,
421,оплаты,труда,оплата,труд,Ncfsgn,Ncmsgn,OB,,,организация_S,предмет_S,
422,руководитель,театра,руководитель,театр,Ncmsny,Ncmsgn,OB',,,организация_S,деятель_S,
423,бразды,правления,бразда,правление,Ncfpan,Ncnsgn,ATR,,,учреждение_S,организация_S,
424,повышения,акциза,повышение,акциз,Ncnsgn,Ncmsgn,OB,,,организация_S,предмет_S,
425,создание,атмосферы,создание,атмосфера,Ncnsan,Ncfsgn,OB,,,организация_S,свойство_S,
426,изложение,пьесы,изложение,пьеса,Ncnsnn,Ncfsgn,OB,,,предмет_S,действие_S,
427,ощущение,наслаждения,ощущение,наслаждение,Ncnsan,Ncnsgn,ATR,,,свойство_S,предмет_S,
428,сопротивление,земляка,сопротивление,земляк,Ncnsan,Ncmsgn,SAG,,,действие_S,родственник_S,
429,переходом,россиянки,переход,россиянка,Ncmsin,Ncfsgy,SAG,,,действие_S,человек_S,
430,президента,федерации,президент,федерация,Ncmsgy,Ncfsgn,MB,,,деятель_S,организация_S,
431,отбор,идей,отбор,идея,Ncmsnn,Ncfpgn,OB,,,свойство_S,организация_S,
432,выделении,финансирования,выделение,финансирование,Ncnsgn,Ncnsgn,OB,,,действие_S,организация_S,
433,уборке,казарм,уборка,казарма,Ncfsln,Ncfpgn,OB,,,организация_S,учреждение_S,
434,часть,культуры,часть,культура,Ncfsan,Ncfsgn,WH,,,группа_S,деятель_S,
435,снятия,скакуна,снятие,скакун,Ncnsgn,Ncmsgy,OB,,,действие_S,человек_S,
436,схему,организации,схема,организация,Ncfsan,Ncfsgn,ATR,,,свойство_S,организация_S,
437,организации,работ,организация,работа,Ncfsgn,Ncfpgn,OB,,,организация_S,организация_S,
438,замещение,частей,замещение,часть,Ncnsan,Ncfpdn,OB,,,действие_S,группа_S,
439,частей,моста,часть,мост,Ncfpgn,Ncmsgn,WH,,,группа_S,деятель_S,
440,фоторобот,преступника,фоторобот,преступник,Ncmsan,Ncmsgy,OB',,,агент_S,агент_S,
441,проведение,пресс-конференции,проведение,пресс-конференция,Ncnsnn,Ncfsgn,OB,,,организация_S,агент_S,
442,магистр,ордена,магистр,орден,Ncmsny,Ncmsgy,MB,,,агент_S,агент_S,
443,милости,императора,милость,император,Ncfsdn,Ncmsgy,SAG,,,действие_S,родственник_S,
444,бегстве,президента,бегство,президент,Ncnsln,Ncmsgy,SAG,,,действие_S,деятель_S,
445,продажа,услуг,продажа,услуга,Ncfsnn,Ncfpgn,OB,,,агент_S,учреждение_S,
446,основа,деятельности,основа,деятельность,Ncfsnn,Ncfsgn,ATR,,,предмет_S,действие_S,
447,бабка,мальчика,бабка,мальчик,Ncfsny,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
448,стекло,окна,стекло,окно,Ncnsan,Ncnsgn,WH,,,предмет_S,предмет_S,
449,просмотр,видеозаписей,просмотр,видеозапись,Ncmsan,Ncfpgn,OB,,,организация_S,агент_S,
450,качества,обслуживания,качество,обслуживание,Ncnsgn,Ncnsgn,PAR,,,свойство_S,учреждение_S,
451,численность,беляка,численность,беляк,Ncfsnn,Ncmsgy,PAR,,,группа_S,организация_S,
452,ящике,стола,ящик,стол,Ncmsln,Ncmsgn,WH,,,предмет_S,группа_S,
453,вручение,пеликана,вручение,пеликан,Ncnsnn,Ncmsgy,OB,,,агент_S,человек_S,
454,зале,планетария,зал,планетарий,Ncmsln,Ncmsgn,WH,,,группа_S,учреждение_S,
455,дознаватель,овд,дознаватель,овд,Ncmsny,Ncmpgn,MB,,,агент_S,агент_S,
456,получения,показаний,получение,показание,Ncnsgn,Ncnpgn,OB,,,организация_S,агент_S,
457,помещении,овд,помещение,овд,Ncnsln,Ncmpgn,WH,,,учреждение_S,агент_S,
458,старания,парикмахера,старание,парикмахер,Ncnpan,Ncmsgy,SAG,,,действие_S,агент_S,
459,информированию,избирателей,информирование,избиратель,Ncnsdn,Ncmpgy,OB,,,группа_S,человек_S,
460,разрешению,споров,разрешение,споровый,Ncnsdn,Ncmpgn,OB,,,учреждение_S,родственник_S,
461,представителями,партий,представитель,партия,Ncmsiy,Ncfpgn,MB,,,деятель_S,группа_S,
462,служении,протоиерея,служение,протоиерей,Ncnsln,Ncmsgy,SAG,,,действие_S,родственник_S,
463,представлении,начальника,представление,начальник,Ncnsln,Ncmsgy,OB,,,свойство_S,агент_S,
464,вынесения,постановления,вынесение,постановление,Ncnsgn,Ncnsgn,OB,,,действие_S,учреждение_S,
465,употреблению,алкоголя,употребление,алкоголь,Ncnnsdn,Ncmsgn,OB,,,действие_S,предмет_S,
466,бога,медицины,бог,медицина,Ncmsgy,Ncfsgn,ATR,,,человек_S,учреждение_S,
467,руководитель,группы,руководитель,группа,Ncmsny,Ncfsgn,OB',,,организация_S,группа_S,
468,заместитель,прокурора,заместитель,прокурор,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
469,неподчинении,окружающих,неподчинение,окружающий,Ncnsln,Ncmpgy,SAG,,,действие_S,родственник_S,
470,сказочность,героя,сказочность,герой,Ncfsan,Ncmsgy,PAR,,,свойство_S,человек_S,
471,деятельности,органа,деятельность,орган,Ncnsln,Ncmsgn,SAG,,,действие_S,учреждение_S,
472,органа,самоуправления,орган,самоуправление,Ncmsgn,Ncfsgn,ATR,,,учреждение_S,организация_S,
473,показателей,эффективности,показатель,эффективность,Ncmpgn,Nccfsgn,PAR,,,свойство_S,организация_S,
474,эффективности,деятельности,эффективность,деятельность,Ncfsgn,Ncfsgn,PAR,,,организация_S,действие_S,
475,деятельности,руководителя,деятельность,руководитель,Ncfsgn,Ncmsgy,SAG,,,действие_S,организация_S,
476,корреспондент,"""коммерсанта""",корреспондент,коммерсант,Ncmsny,Ncmsgn,MB,,,агент_S,агент_S,
477,уровне,правительства,уровень,правительство,Ncmsgn,Ncnsgn,ATR,,,учреждение_S,организация_S,
478,поиском,инвестора,поиск,инвестор,Ncmsin,Ncmsgy,OB,,,действие_S,агент_S,
479,обороноспособность,государства,обороноспособность,государство,Ncnsan,Ncnsgn,PAR,,,организация_S,организация_S,
480,глубины,осмотра,глубина,осмотр,Ncfsgn,Ncmsgn,PAR,,,свойство_S,учреждение_S,
481,вратарь,сборной,вратарь,сборный,Ncmsny,Ncfsgn,MB,,,деятель_S,родственник_S,
482,игру,вратаря,игра,вратарь,Ncfsan,Ncmsgy,SAG,,,действие_S,деятель_S,
483,управления,роспотребнадзора,управление,роспотребнадзор,Ncnsgn,Ncmsgn,OB',,,учреждение_S,учреждение_S,
484,проверки,супермаркетов,проверка,супермаркет,Ncfpan,Ncmpgn,OB,,,организация_S,родственник_S,
485,содержании,йода,содержание,йод,Ncnsgn,Ncmsgn,PAR,,,свойство_S,родственник_S,
486,подвиг,земляка,подвиг,земляк,Ncmsan,Ncmsgy,SAG,,,действие_S,родственник_S,
487,награждению,победителей,награждение,победитель,Ncnsdn,Ncmpgy,OB,,,деятель_S,предмет_S,
488,агент,радулова,агент,радулов,Ncmsny,Npmsgy,KIN-SOC,,,агент_S,группа_S,
489,соперник,армейцев,соперник,армеец,Ncmsny,Ncmpgy,KIN-SOC,,,родственник_S,родственник_S,
490,командир,"""зубра""",командир,зубр,Ncmsny,Ncmsgn,MB,,,группа_S,деятель_S,
491,преимуществах,омона,преимущество,омон,Ncnpln,Ncmsgn,PAR,,,свойство_S,группа_S,
492,нанимателем,помещения,наниматель,помещение,Ncmsiy,Ncnsgn,OB',,,родственник_S,учреждение_S,
493,наймодателем,помещения,наймодатель,помещение,Ncmsiy,Ncnsgn,OB',,,учреждение_S,учреждение_S,
494,модернизации,гтс,модернизация,гтс,Ncfsln,Ncfsgn,OB,,,организация_S,родственник_S,
495,сопредседателя,партии,сопредседатель,партия,Ncmsgy,Ncfsgn,MB,,,организация_S,группа_S,
496,структуру,управления,структура,управление,Ncfsan,Ncnsgn,PAR,,,свойство_S,учреждение_S,
497,самоконтроле,режиссеров,самоконтроль,режиссер,Ncmsln,Ncmpgy,SAG,,,действие_S,деятель_S,
498,председателя,кгб,председатель,кгб,Ncmsgy,Ncmsgn,MB,,,учреждение_S,агент_S,
499,врач,певца,врач,певец,Ncmsny,Ncmsgy,OB',,,агент_S,деятель_S,
500,внучка,хана,внучка,хан,Ncfsny,Npmsgy,KIN-SOC,,,родственник_S,родственник_S,
501,использование,силы,использование,сила,Ncnsan,Ncfsgn,OB,,,действие_S,свойство_S,
502,открытость,работы,открытость,работа,Ncfsgn,Ncfsgn,PAR,,,свойство_S,организация_S,
503,реализацию,проекта,реализация,проект,Ncfsan,Ncmsgn,OB,,,действие_S,организация_S,
504,костюме,снегурочки,костюм,снегурочка,Ncmsln,Npfsgy,ATR,,,агент_S,предмет_S,
505,правоту,стороны,правота,сторона,Ncfsan,Ncfsgn,PAR,,,свойство_S,группа_S,
506,стоимость,путевки,стоимость,путевка,Ncfsnn,Ncfsgn,PAR,,,предмет_S,организация_S,
507,неисполнение,условий,неисполнение,условие,Ncnsan,Ncnpgn,OB,,,действие_S,свойство_S,
508,проведения,визита,проведение,визит,Ncnsgn,Ncmsgn,OB,,,организация_S,родственник_S,
509,куплей-продажей,земли,купля-продажа,земля,Ncfsin,Ncfsgn,OB,,,родственник_S,человек_S,
510,передаче,части,передача,часть,Ncfsgn,Ncfsgn,OB,,,действие_S,группа_S,
511,части,построек,часть,постройка,Ncfsgn,Ncfpgn,WH,,,группа_S,учреждение_S,
512,построек,ответчика,постройка,ответчик,Ncfpgn,Ncmsgy,POS,,,учреждение_S,агент_S,
513,холле,травмпункта,холл,травмпункт,Ncmsln,Ncmsgn,WH,,,группа_S,родственник_S,
514,проведения,сделок,проведение,сделка,Ncnsgn,Ncfpgn,OB,,,организация_S,действие_S,
515,лидер,меньшинства,лидер,меньшинство,Ncmsny,Ncnsgn,MB,,,деятель_S,группа_S,
516,решение,проблем,решение,проблема,Ncnsan,Ncfpgn,OB,,,действие_S,предмет_S,
517,размеры,пособий,размер,пособие,Ncmpnn,Ncnpgn,PAR,,,свойство_S,учреждение_S,
518,принятии,сотрудника,принятие,сотрудник,Ncnsgn,Ncmsgy,OB,,,действие_S,агент_S,
519,сроком,реализации,срок,реализация,Ncmsin,Ncfsgn,PAR,,,группа_S,действие_S,
520,хозяина,столовой,хозяин,столовая,Ncmsgy,Ncfsgn,POS,,,человек_S,учреждение_S,
521,сцене,центра,сцена,центр,Ncfsln,Ncmsgn,WH,,,предмет_S,учреждение_S,
522,поимки,преступника,поимка,преступник,Ncfsgn,Ncmsgy,OB,,,агент_S,агент_S,
523,кидании,гранат,кидание,гранат,Ncnsln,Ncfpgn,OB,,,предмет_S,действие_S,
524,восприятие,пациента,восприятие,пациент,Ncnsan,Ncmsgy,PAR,,,свойство_S,человек_S,
525,характер,недуга,характер,недуг,Ncmsan,Ncmsgy,PAR,,,свойство_S,свойство_S,
526,преемник,зоолога,преемник,зоолог,Ncmsny,Ncmsgy,KIN-SOC,,,деятель_S,деятель_S,
527,основатель,науки,основатель,наука,Ncmsny,Ncfsgy,OB',,,деятель_S,деятель_S,
528,выступление,лыжников,выступление,лыжник,Ncnsnn,Ncmpgy,SAG,,,действие_S,человек_S,
529,министра,спорта,министр,спорт,Ncmsgy,Ncmsgn,ATR,,,агент_S,деятель_S,
530,сестра,человека,сестра,человек,Ncfsny,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
531,телом,души,тело,душа,Ncfsin,Ncmsgy,PAR,,,предмет_S,человек_S,
532,брат,пушкина,брат,пушкин,Ncmsny,Npmsgy,KIN-SOC,,,родственник_S,родственник_S,
533,уход,крутикова,уход,крутиков,Ncmsan,Ncmsgy,SAG,,,родственник_S,группа_S,
534,командир,экипажа,командир,экипаж,Ncmsny,Ncmsgn,MB,,,группа_S,группа_S,
535,введении,ценза,введение,ценз,Ncnsln,Ncmsgn,OB,,,действие_S,учреждение_S,
